; charset=UTF-8
@@	12000	Cuneiform	123FF
@		Signs
12176	CUNEIFORM SIGN KA TIMES ME PLUS GI
12177	CUNEIFORM SIGN KA TIMES ME PLUS TE
12178	CUNEIFORM SIGN KA TIMES MI
12179	CUNEIFORM SIGN KA TIMES MI PLUS NUNUZ
1217A	CUNEIFORM SIGN KA TIMES NE
1217B	CUNEIFORM SIGN KA TIMES NUN
1217C	CUNEIFORM SIGN KA TIMES PI
1217D	CUNEIFORM SIGN KA TIMES RU
1217E	CUNEIFORM SIGN KA TIMES SA
1217F	CUNEIFORM SIGN KA TIMES SAR
12180	CUNEIFORM SIGN KA TIMES SHA
12181	CUNEIFORM SIGN KA TIMES SHE
12182	CUNEIFORM SIGN KA TIMES SHID
12183	CUNEIFORM SIGN KA TIMES SHU
12184	CUNEIFORM SIGN KA TIMES SIG
12185	CUNEIFORM SIGN KA TIMES SUHUR
12186	CUNEIFORM SIGN KA TIMES TAR
12187	CUNEIFORM SIGN KA TIMES U
12188	CUNEIFORM SIGN KA TIMES U2
12189	CUNEIFORM SIGN KA TIMES UD
1218A	CUNEIFORM SIGN KA TIMES UMUM TIMES PA
1218B	CUNEIFORM SIGN KA TIMES USH
1218C	CUNEIFORM SIGN KA TIMES ZI
1218D	CUNEIFORM SIGN KA2
1218E	CUNEIFORM SIGN KA2 CROSSING KA2
1218F	CUNEIFORM SIGN KAB
12190	CUNEIFORM SIGN KAD2
12191	CUNEIFORM SIGN KAD3
12192	CUNEIFORM SIGN KAD4
12193	CUNEIFORM SIGN KAD5
12194	CUNEIFORM SIGN KAD5 OVER KAD5
12195	CUNEIFORM SIGN KAK
12196	CUNEIFORM SIGN KAK TIMES IGI GUNU
12197	CUNEIFORM SIGN KAL
12198	CUNEIFORM SIGN KAL TIMES BAD
12199	CUNEIFORM SIGN KAL CROSSING KAL
1219A	CUNEIFORM SIGN KAM2
1219B	CUNEIFORM SIGN KAM4
1219C	CUNEIFORM SIGN KASKAL
1219D	CUNEIFORM SIGN KASKAL LAGAB TIMES U OVER LAGAB TIMES U
1219E	CUNEIFORM SIGN KASKAL OVER KASKAL LAGAB TIMES U OVER LAGAB TIMES U
1219F	CUNEIFORM SIGN KESH2
121A0	CUNEIFORM SIGN KI
121A1	CUNEIFORM SIGN KI TIMES BAD
121A2	CUNEIFORM SIGN KI TIMES U
121A3	CUNEIFORM SIGN KI TIMES UD
121A4	CUNEIFORM SIGN KID
121A5	CUNEIFORM SIGN KIN
121A6	CUNEIFORM SIGN KISAL
121A7	CUNEIFORM SIGN KISH
121A8	CUNEIFORM SIGN KISIM5
121A9	CUNEIFORM SIGN KISIM5 OVER KISIM5
121AA	CUNEIFORM SIGN KU
121AB	CUNEIFORM SIGN KU OVER HI TIMES ASH2 KU OVER HI TIMES ASH2
121AC	CUNEIFORM SIGN KU3
121AD	CUNEIFORM SIGN KU4
121AE	CUNEIFORM SIGN KU4 VARIANT FORM
121AF	CUNEIFORM SIGN KU7
121B0	CUNEIFORM SIGN KUL
121B1	CUNEIFORM SIGN KUL GUNU
121B2	CUNEIFORM SIGN KUN
121B3	CUNEIFORM SIGN KUR
121B4	CUNEIFORM SIGN KUR OPPOSING KUR
121B5	CUNEIFORM SIGN KUSHU2
121B6	CUNEIFORM SIGN KWU318
121B7	CUNEIFORM SIGN LA
121B8	CUNEIFORM SIGN LAGAB
121B9	CUNEIFORM SIGN LAGAB TIMES A
121BA	CUNEIFORM SIGN LAGAB TIMES A PLUS DA PLUS HA
121BB	CUNEIFORM SIGN LAGAB TIMES A PLUS GAR
121BC	CUNEIFORM SIGN LAGAB TIMES A PLUS LAL
121BD	CUNEIFORM SIGN LAGAB TIMES AL
121BE	CUNEIFORM SIGN LAGAB TIMES AN
121BF	CUNEIFORM SIGN LAGAB TIMES ASH ZIDA TENU
121C0	CUNEIFORM SIGN LAGAB TIMES BAD
121C1	CUNEIFORM SIGN LAGAB TIMES BI
121C2	CUNEIFORM SIGN LAGAB TIMES DAR
121C3	CUNEIFORM SIGN LAGAB TIMES EN
121C4	CUNEIFORM SIGN LAGAB TIMES GA
121C5	CUNEIFORM SIGN LAGAB TIMES GAR
121C6	CUNEIFORM SIGN LAGAB TIMES GUD
121C7	CUNEIFORM SIGN LAGAB TIMES GUD PLUS GUD
121C8	CUNEIFORM SIGN LAGAB TIMES HA
121C9	CUNEIFORM SIGN LAGAB TIMES HAL
121CA	CUNEIFORM SIGN LAGAB TIMES HI TIMES NUN
121CB	CUNEIFORM SIGN LAGAB TIMES IGI GUNU
121CC	CUNEIFORM SIGN LAGAB TIMES IM
121CD	CUNEIFORM SIGN LAGAB TIMES IM PLUS HA
121CE	CUNEIFORM SIGN LAGAB TIMES IM PLUS LU
121CF	CUNEIFORM SIGN LAGAB TIMES KI
121D0	CUNEIFORM SIGN LAGAB TIMES KIN
121D1	CUNEIFORM SIGN LAGAB TIMES KU3
